Date,Open,High,Low,Close,Adj Close,Volume,Daily_Return,Volatility_20d,daily_return,return_1w,return_1m,return_3m,return_1y,volatility_20d,volatility_60d,volatility_120d,sma_20,sma_50,sma_200,rsi_14,volume_sma_20,volume_ratio,momentum_1m,momentum_3m,corr_Apple_20d,corr_Apple_60d,corr_Apple_120d,corr_Microsoft_20d,corr_Microsoft_60d,corr_Microsoft_120d,corr_Amazon_20d,corr_Amazon_60d,corr_Amazon_120d,corr_Netflix_20d,corr_Netflix_60d,corr_Netflix_120d
2004-09-17,2.849817991256714,2.9262819290161133,2.8281490802764893,2.9262819290161133,2.9262819290161133,190350817,0.0308855380647377,0.4317996152655254,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-09-18,,,,,,0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-09-19,,,,,,0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-09-20,2.912832021713257,3.028647899627685,2.90834903717041,2.9728569984436035,2.9728569984436035,213585582,0.0159161251572057,0.3426161877199455,0.01591612515720575,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-09-21,2.984065055847168,2.999258041381836,2.9267799854278564,2.9349989891052246,2.9349989891052246,145262446,-0.0127345544566048,0.3477471397888091,-0.012734554456604874,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-09-22,2.9240400791168213,2.9805779457092285,2.9093449115753174,2.9484479427337646,2.9484479427337646,152344894,0.0045822685726513,0.303713529983184,0.004582268572651316,0.007574804566115034,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-09-23,2.959906101226806,3.0543019771575928,2.9145750999450684,3.009221076965332,3.009221076965332,171524515,0.0206119068106114,0.3076386032091062,0.020611906810611424,0.028342842542551816,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-09-24,3.012208938598633,3.090914011001587,2.9828200340271,2.984563112258911,2.984563112258911,183336625,-0.0081941353179963,0.3089641997655001,-0.008194135317996398,0.01991646213746523,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-09-25,,,,,,0,0.0,,0.0,0.003937664617381875,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-09-26,,,,,,0,0.0,,0.0,0.01688727094546527,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-09-27,2.9778380393981934,3.0107150077819824,2.9340031147003174,2.945460081100464,2.945460081100464,141994242,-0.01310176052161,0.3061670092976091,-0.01310176052161005,-0.0010133676060533059,,,,,,,,,,,,,,,,,,,,,,,,,,
